ID Sk,Word Sk,Frequency Sk,Type Sk,Page Sk,ID Cz,Word G Cz,Page G Cz,Word N Cz,Frequency Cz,Page Cz,Comment
,diferencovanosť,1,8,531,963,diferencovanosti,236,diferencovanost,3,119,
,dimenzia,1,6,137,716,dimenze,204,dimenze,13,30,
,diplomacia,1,6,117,427,diplomacie,197,diplomacie,1,27,
,diskrepancia,1,6,125,368,diskrepance,193,diskrepance,3,26,
,diskriminácia,1,6,120,72,diskriminace,188,diskriminace,4,23,
252,diskusia,30,6,136,669,diskuse,203,diskuse,57,30,
,disociácia,1,6,118,12,disociace,187,disociace,3,23,
,disonancia,1,6,125,366,disonance,193,disonance,2,26,
,disperzia,1,6,137,720,disperze,204,disperze,3,30,
,disponovanosť,1,8,532,971,disponovanosti,236,disponovanost,5,119,
163,dispozícia,15,6,124,323,dispozice,192,dispozice,90,26,
,dištancia,1,6,125,373,distance,193,distance,5,26,
,distribúcia,1,6,126,412,distribuce,195,distribuce,6,27,
,diverzia,1,6,137,722,diverze,204,diverze,6,30,
,divízia,1,6,137,712,divize,204,divize,10,30,
413,dlaň,123,7,356,,dlaně,,dlaň,6,104,
,dlaždica,1,6,106,214,dlaždice,190,dlaždice,6,25,
,,,,,261,dobrovolnice,191,dobrovolnice,1,25,
,dojivosť,1,8,547,1257,dojivosti,239,dojivost,8,122,
,dojnica,1,6,108,253,dojnice,191,dojnice,10,25,
536,dokonalosť,2,8,530,926,dokonalosti,235,dokonalost,8,119,
,dokumentácia,1,6,121,123,dokumentace,189,dokumentace,22,24,
693,dôležitosť,10,8,545,1240,důležitosti,239,důležitost,24,122,
570,domácnosť,14,8,532,986,domácnosti,236,domácnost,51,120,
590,dôslednosť,5,8,534,1029,důslednosti,237,důslednost,5,120,
,dospelosť,1,8,530,936,dospělosti,236,dospělost,3,119,
614,dôstojnosť,3,8,537,,důstojnosti,,důstojnost,2,120,
,dotácia,1,6,121,126,dotace,189,dotace,7,24,
,,,,,1032,dovednosti,237,dovednost,19,120,
,dozimetria,1,6,135,575,dozimetrie,198,dozimetrie,1,28,
149,dramatizácia,2,6,123,190,dramatizace,189,dramatizace,1,24,
,dramaturgia,1,6,130,494,dramaturgie,197,dramaturgie,5,28,
,dreň,1,7,358,795,dřeně,209,dřeň,1,104,
,drenáž,1,7,724,734,drenáže,204,drenáž,7,163,
563,drobnosť,2,8,532,980,drobnosti,236,drobnost,4,119,
,drogéria,1,6,134,558,drogérie,198,drogérie,4,28,
,,,,,840,drtě,211,drť,1,123,
,,,,,749,drůbeže,205,drůbež,17,163,
89,družica,9,6,111,326,družice,192,družice,31,26,
676,družnosť,7,8,544,,družnosti,,družnost,1,,
340,duša,230,6,208,677,duše,203,duše,11,30,
12,dvojica,37,6,106,216,dvojice,190,dvojice,53,25,
719,dychtivosť,2,8,548,,dychtivosti,,dychtivost,1,122,
323,dyňa,3,6,203,,dýně,,dýně,1,,
,dynastia,1,6,136,587,dynastie,198,dynastie,2,28,
273,džungľa,7,6,191,,džungle,,džungle,2,29,
,edícia,1,6,124,211,edice,190,edice,5,25,
,efektívnosť,1,8,543,1195,efektivnosti,238,efektivnost,63,122,
,ekológia,1,6,129,477,ekologie,197,ekologie,1,28,
227,ekonómia,7,6,131,523,ekonomie,198,ekonomie,20,28,
,ektogenéza,1,5,219,703,ektogeneze,204,ektogeneze,1,30,
,elegancia,1,6,125,364,elegance,193,elegance,1,26,
437,elektráreň,10,7,358,,elektrárny,,elektrárna,27,11,
113,elektrifikácia,2,6,118,21,elektrifikace,187,elektrifikace,2,23,
,elektrizácia,1,6,123,189,elektrizace,189,elektrizace,11,24,
,elektroinštalácia,1,6,118,35,elektroinstalace,187,elektroinstalace,2,23,
,emancipácia,1,6,120,80,emancipace,188,emancipace,4,23,
,emigrácia,1,6,120,93,emigrace,188,emigrace,6,23,
,emisia,1,6,136,665,emise,203,emise,17,30,
,emócia,1,6,126,403,emoce,194,emoce,5,27,
,empíria,1,6,134,567,empirie,198,empirie,6,28,
,emulzia,1,6,137,714,emulze,204,emulze,15,30,
,encyklopédia,1,6,126,432,encyklopedie,197,encyklopedie,2,27,
214,energia,91,6,130,492,energie,197,energie,230,28,
,entropia,1,6,133,547,entropie,198,entropie,14,28,
,ergonómia,1,6,131,522,ergonomie,198,ergonomie,6,28,
,Ermitráž,1,7,725,742,Ermitráže,204,Ermitráž,1,163,
,erózia,1,6,137,719,eroze,204,eroze,2,30,
,erupcia,1,6,126,408,erupce,194,erupce,12,27,
,etnografia,1,6,127,449,etnografie,197,etnografie,6,27,
181,evidencia,6,6,125,377,evidence,194,evidence,21,26,
,exakuácia,1,6,122,134,evakuace,189,evakuace,3,24,
,excitácia,1,6,121,112,excitace,188,excitace,3,24,
,exhalácia,1,6,118,33,exhalace,187,exhalace,6,23,
,exhibícia,1,6,124,206,exhibice,190,exhibice,1,24,
188,existencia,17,6,126,394,existence,194,existence,91,26,
266,exkurzia,4,6,137,725,exkurze,204,exkurze,8,30,
,expanzia,1,6,137,715,expanze,204,expanze,5,30,
154,expedícia,3,6,124,212,expedice,190,expedice,18,25,
,exploatácia,1,6,121,108,exploatace,188,exploatace,1,24,
,explózia,1,6,137,718,exploze,204,exploze,5,30,
,expozícia,1,6,124,325,expozice,192,expozice,33,26,
276,fakľa,6,6,191,,,,,0,,
468,faloš,2,7,411,,falše,,faleš,1,,
260,fantázia,26,6,137,595,fantazie,199,fantazie,5,28,
,farebnosť,1,8,532,1189,barevnosti,238,barevnost,11,122,
,fáza,7,5,219,697,fáze,204,fáze,121,30,
289,fazuľa,6,6,191,634,fazole,201,fazole,2,29,
,federácia,1,6,120,85,federace,188,federace,10,23,
,fermež,1,7,125,752,fermeže,205,fermež,2,163,
171,fikcia,2,6,124,347,fikce,193,fikce,2,26,
,,,,,453,Filadelfie,197,Filadelfie,1,27,
,filharmónia,1,6,133,538,filharmonie,198,filharmonie,14,28,
,filiácia,1,6,118,13,filiace,187,filiace,2,23,
205,filozofia,116,6,128,455,filozofie,197,filozofie,92,27,
,fixácia,1,6,122,147,fixace,189,fixace,5,24,
334,fľaša,39,6,208,,flaše,,flaše,1,,
,Florenc,1,1,232,388,Florence,194,Florenc,4,20,
,Florenc,1,1,232,388,Florence,194,Florencie,1,27,
,Florencia,1,6,126,388,Florence,194,Florenc,4,20,
,Florencia,1,6,126,388,Florence,194,Florencie,1,27,
,flotácia,1,6,121,127,flotace,189,flotace,1,24,
,fluktuácia,1,6,122,136,fluktuace,189,fluktuace,6,24,
,fólia,1,6,130,514,fólie,198,fólie,14,28,
,fonológia,1,6,129,482,fonologie,197,fonologie,11,28,
,formácia,1,6,119,58,formace,188,formace,11,23,
